price,area,flat_toilets,balcony,current_floors,total_floors,ceiling,dorm,mortgage,year,type_of_house,repair_status,distance_to_center
12700000.0,46.3,раздельный,нет,7.0,9.0,2.7,нет,нет,2023,кирпичный,частично,4.193
22500000.0,60.0,раздельный,балкон,5.0,5.0,2.7,нет,нет,1985,кирпичный,полностью,3.607
18000000.0,60.0,раздельный,нет,8.0,10.0,2.7,нет,нет,2024,кирпичный,частично,4.193
12500000.0,40.0,раздельный,нет,4.0,10.0,2.7,нет,нет,2024,кирпичный,частично,4.193
18000000.0,60.5,раздельный,нет,9.0,10.0,3.0,нет,нет,2024,кирпичный,частично,4.193
12300000.0,51.9,раздельный,нет,1.0,9.0,2.5,нет,нет,1991,панельный,частично,3.298
11000000.0,40.0,раздельный,нет,9.0,10.0,3.0,нет,нет,2024,кирпичный,частично,4.193
18500000.0,44.0,раздельный,нет,1.0,9.0,2.7,нет,нет,2023,кирпичный,частично,4.193
67897600.0,131.84,2 с/у и более,нет,5.0,12.0,3.0,нет,нет,2024,кирпичный,частично,0.989
22500000.0,66.4,совмещенный,нет,2.0,9.0,3.0,нет,нет,2022,кирпичный,частично,2.159
22500000.0,60.0,раздельный,нет,5.0,5.0,2.7,нет,нет,2021,кирпичный,полностью,1.851
25500000.0,73.0,совмещенный,нет,7.0,10.0,2.7,нет,нет,2024,кирпичный,частично,1.324
23000000.0,70.0,раздельный,нет,4.0,6.0,2.7,нет,нет,1990,панельный,частично,3.527
16500000.0,38.9,совмещенный,нет,7.0,9.0,2.7,нет,нет,2018,кирпичный,частично,1.299
13500000.0,32.0,совмещенный,нет,9.0,10.0,2.7,нет,В залоге,2021,кирпичный,частично,0.462
29372000.0,105.0,раздельный,нет,7.0,10.0,2.7,нет,нет,2023,кирпичный,частично,2.624
12500000.0,39.0,совмещенный,лоджия,2.0,5.0,2.7,нет,нет,1994,кирпичный,полностью,2.431
39000000.0,148.9,раздельный,нет,3.0,7.0,3.2,нет,нет,2015,кирпичный,частично,2.129
18000000.0,46.0,совмещенный,нет,3.0,9.0,2.7,нет,нет,2023,кирпичный,частично,1.122
17000000.0,43.0,совмещенный,лоджия,5.0,9.0,2.7,нет,нет,2024,кирпичный,частично,2.082
16500000.0,80.0,раздельный,балкон,5.0,5.0,2.7,нет,В залоге,1985,панельный,полностью,3.351
55000000.0,120.0,2 с/у и более,нет,2.0,5.0,2.7,нет,нет,2022,кирпичный,частично,1.407
17200000.0,53.0,раздельный,нет,6.0,12.0,2.7,нет,нет,2022,кирпичный,частично,0.947
13500000.0,52.0,раздельный,нет,5.0,6.0,2.7,нет,нет,1990,панельный,частично,1.568
5000000.0,22.4,раздельный,нет,1.0,5.0,2.7,да,нет,1987,кирпичный,частично,1.19
15900000.0,52.0,раздельный,нет,4.0,5.0,2.7,нет,нет,1985,кирпичный,полностью,0.981
9000000.0,30.3,совмещенный,нет,4.0,4.0,2.7,нет,нет,1965,кирпичный,частично,0.722
27000000.0,62.0,совмещенный,лоджия,7.0,10.0,2.8,нет,нет,2022,кирпичный,частично,4.193
9000000.0,32.0,совмещенный,нет,3.0,5.0,2.5,нет,нет,1964,кирпичный,полностью,2.714
50000000.0,106.0,2 с/у и более,нет,1.0,1.0,2.7,нет,нет,2022,кирпичный,полностью,0.53
22000000.0,67.0,раздельный,балкон и лоджия,5.0,5.0,2.7,нет,нет,1988,кирпичный,полностью,0.633
18500000.0,60.0,раздельный,нет,2.0,5.0,2.7,нет,В залоге,1988,панельный,полностью,3.463
7000000.0,28.0,совмещенный,нет,2.0,5.0,3.0,нет,нет,2024,кирпичный,частично,2.911
23500000.0,52.5,раздельный,нет,2.0,10.0,2.65,нет,нет,2022,кирпичный,полностью,1.296
22500000.0,100.0,раздельный,нет,5.0,5.0,2.5,нет,нет,1984,кирпичный,полностью,3.286
10300000.0,42.0,совмещенный,нет,4.0,4.0,2.7,нет,нет,1965,кирпичный,полностью,2.32
18500000.0,60.5,раздельный,нет,9.0,10.0,2.7,нет,нет,2023,кирпичный,частично,4.193
22000000.0,74.0,раздельный,нет,8.0,10.0,2.7,нет,нет,2023,кирпичный,частично,4.193
55000000.0,112.63,раздельный,лоджия,6.0,9.0,3.0,нет,нет,2023,кирпичный,полностью,1.241
12200000.0,46.0,раздельный,нет,3.0,4.0,2.5,нет,нет,1970,кирпичный,частично,0.956
11300000.0,51.0,совмещенный,нет,3.0,4.0,2.7,нет,нет,1991,кирпичный,частично,3.479
11500000.0,51.0,раздельный,балкон,2.0,3.0,2.7,нет,нет,1961,кирпичный,частично,2.791
17500000.0,51.3,раздельный,нет,2.0,5.0,2.7,нет,нет,1971,кирпичный,частично,2.688
33850600.0,92.0,раздельный,нет,6.0,10.0,3.2,нет,нет,2025,кирпичный,частично,2.677
